name,glrm_rp,glrm_sre,glrm_lre,glrm_gln,glrm_rln,glrm_lgre,glrm_hgre,glrm_srlge,glrm_srhge,glrm_lrlge,glrm_lrhge,class
RT24_13.jpg,0.0011444091796875,7229600127.45308,285.84,7736351.466666667,40340721.70666666,4.616366325125804,182285.90666666668,7229600000.67504,1518744559106424,1.521484291538261,57111.986666666664,tapete
RT24_25.jpg,0.001312255859375,6567790790.028014,173.7325581395349,4865906.023255814,37788965.76744186,4.201387935078506,165388.08139534883,6567790698.174302,1433342577618.4136,0.9607595529284185,35531.604651162794,tapete
RT24_31.jpg,0.001129150390625,7759594692.231882,170.47297297297297,5518093.378378378,45224628.64864865,5.3850393271321,177175.6081081081,7759594595.183759,1562666099773.0366,1.0351242792651425,32020.783783783783,tapete
RT24_21.jpg,0.0014190673828125,5900967838.8801365,218.5483870967742,5190675.354838709,33202305.6344086,3333337.7012001937,147775.91397849462,5902043011.407044,1246749051954.0862,2580647.2284824178,42989.666666666664,tapete
RT24_1.jpg,0.0011444091796875,7507333440.482474,207.81333333333333,7065302.586666667,43080931.17333333,4.6922646747719945,182131.74666666667,7507333333.9079895,1575196154840.9827,1.1334806807663573,40999.92,tapete
RT24_35.jpg,0.002044677734375,3794253818.7918353,265.5223880597015,3102812.1641791044,20243644.507462688,1417913.6920993899,101383.36567164179,3794850746.9100614,797325763741.7445,1044779.1315553633,50662.80597014925,tapete
RT24_10.jpg,0.0023345947265625,2862483759.6178846,532.7908496732026,3077843.6732026143,13950641.712418301,2.0680883366225284,100548.1568627451,2862483660.617477,681063421783.8589,2.8155547513490498,115390.73202614379,tapete
RT24_22.jpg,0.001312255859375,6481046610.921128,193.41860465116278,5202961.930232558,36922191.488372095,4.067779184435525,166949.48837209304,6481046512.151748,1427744090965.7346,1.0482048765223673,40061.267441860466,tapete
RT24_28.jpg,0.001220703125,7101625095.8917055,179025,5412651.15,41041087.3,4.145567219780476,189368.9625,7101625000.476578,1650831521492.1116,0.9109370392672569,38799.7,tapete
RT24_18.jpg,0.001251220703125,6957317165.635793,159.90243902439025,4838116.5121951215,40356404.75609756,4.842607983604054,162609.63414634147,6957317073.709475,1419216847805.4731,0.9348574853739903,31513.5,tapete
RT24_5.jpg,0.0012054443359375,7229114019.273091,166.43037974683546,5513494.17721519,41964812.025316454,4.2370331356053255,188818.16455696203,7229113924.533198,1654485843701.8076,0.840655195810348,36245.873417721516,tapete
RT24_16.jpg,0.0013580322265625,6305280990.94145,183.46067415730337,4814928.224719102,36093844.06741573,3.509832136087259,180875.2808988764,6305280899.300694,1553699909933941,0.8650616183555331,43013.32584269663,tapete
RT24_7.jpg,0.001373291015625,5576555693.586961,370.4111111111111,5144811.911111111,29584488.68888889,4.507854515495459,137529.0,5576555556.409296,1058574470242.3108,2.3109543006048763,67372.23333333334,tapete
RT24_19.jpg,0.00115966796875,7471315891.491086,182.64473684210526,5906690.97368421,43171806.921052635,4.029563185791871,210693.32894736843,7471315789.945982,1833532919004545,0.8472974791007656,42977.98684210526,tapete
